county,referrals,population,income,employment,education,health,crime
Greater London,618,8945309,0.5393018583626319,0.29901000050253773,0.18293890541165833,0.37008335776819,0.717491075981642
West Midlands,209,2980936,0.8622730860299921,0.6823027718550104,0.8239370012077504,0.7145250761469922,0.6616886428207183
Greater Manchester,145,2948633,0.7769337016574586,0.6915422885572139,0.6557387978850482,0.8045071838478617,0.9312595614482407
West Yorkshire,108,2402161,0.6781767955801105,0.6003316749585405,0.7924439547007677,0.707368156494785,0.9362570117287099
Merseyside,87,1456562,1.0,1.0,0.7890363264285648,1.0,0.7041305456399796
Leicestershire,67,1113795,0.24775552486187852,0.1855306799336649,0.4512236904243794,0.3912369622586186,0.48272565017848035
Essex,62,1896590,0.3344514601420677,0.2688936271025823,0.5413869417462244,0.36810862241264797,0.5772200772200772
Northamptonshire,56,802340,0.30781373322809785,0.2688936271025822,0.6080394099617566,0.4813866232623826,0.5736868944416114
Kent,53,1897051,0.40852103697407577,0.3578262533486413,0.549839056520045,0.4286625702032229,0.7320048640803358
Lancashire,53,1570373,0.6205603788476716,0.6082681828950485,0.5791751052647593,0.7651201895745942,0.6263568150360603
Nottinghamshire,53,1173770,0.47306629834254144,0.4819651741293531,0.6541396201605659,0.5811481590080845,0.5510581336053035
Berkshire,47,969736,0.15883977900552484,0.06909894969596453,0.2461887961874071,0.24106731453943794,0.4040455549889512
South Yorkshire,43,1407072,0.75103591160221,0.7255389718076284,1.0,0.8292841285133834,0.8753187149413565
Bristol,39,482998,0.5870165745856353,0.4394693200663348,0.7152685822229219,0.6733548360072049,1.0
Hampshire,39,2035872,0.22494080505130212,0.18064439706230734,0.39164972332862835,0.35536260329960334,0.5704086836162308
Hertfordshire,39,1215387,0.20165745856353579,0.13432835820895514,0.2590871630568648,0.21999748670045666,0.5517083120856706
Bedfordshire,38,729221,0.4097605893186003,0.2819237147595356,0.49552594458282795,0.46349432413186453,0.6214516403195649
City of Glasgow,37,620000,1.0,1.0,1.0,1.0,1.0
East Sussex,36,835121,0.47767034990791885,0.4449972360420121,0.5190521607881993,0.4904424803473939,0.5011898691143974
North Yorkshire,33,834409,0.15970303867403313,0.16272802653399668,0.3526756363838397,0.3557366062078499,0.09790922998470176
Tyne & Wear,33,1153212,0.8383977900552486,0.7910447761194028,0.7030159362180882,0.8534746366187744,0.7895971443141254
Cambridgeshire,32,919082,0.2727900552486189,0.20453289110005526,0.47486411156278646,0.3776930702746478,0.5256671766105729
Lincolnshire,32,1111230,0.5079803560466543,0.48000737055463405,0.7439412225277976,0.5631419967699448,0.3665363476684231
Buckinghamshire,30,864964,0.11602209944751382,0.05804311774461032,0.1775374329817674,0.12780128178276717,0.3866394696583376
Durham,28,532182,0.7527624309392266,0.7794361525704806,0.6355967516413101,0.8358815398148537,0.7470678225395206
South Glamorgan,27,518269,0.5653484703389398,0.2882025141439784,0.347889977455968,0.40049140247976484,0.4071018276688493
Shropshire,26,521175,0.48342541436464087,0.4145936981757877,0.5579065309788598,0.55899970678172,0.5160632330443651
Staffordshire,25,1161678,0.3698588090853284,0.36668509305325214,0.5760249892739961,0.5576499718417367,0.4926058133605304
West Sussex,25,900862,0.2160615627466456,0.19426676143094046,0.4078624143628357,0.37882006570483095,0.3983390398484738
Dorset,24,788859,0.30386740331491713,0.3026533996683249,0.4109155223023715,0.4578394001591758,0.4036206017338093
Cheshire,22,1119495,0.45062154696132595,0.4747097844112767,0.45916864981989564,0.6548192518745026,0.546787353391127
